Top 10?,WA Water Resilence?,CFDA #,CFDA Name,Department/Ind. Agency,Awarding Sub Agency,Sub-Tier,WP Category,Types of Assistance,Total $,Total $ Rank,Per Capita $,Per Capita $ Rank,Unique from WP CFDA list?,Title,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
,,66.812,Hazardous Waste Management Grant Program for Tribes,EPA,Environmental Protection Agency,,,Technical Assistance,330850,5,0.043,8,FALSE,HAZARDOUS WASTE MANAGEMENT GRANT PROGRAM FOR TRIBES,,,,,
,y,66.813,"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants",ENVIRONMENTAL PROTECTION AGENCY,NULL,,,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,FALSE,"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants","66.808, 66.814, 66.815",23-Sep-20,23-Sep-20,TRUE,"Joshua Union

Environmental Protection Agency, Office of Superfund Remediation & Technology Innovation Division, 1200 Pennsylvania Avenue,  N.W. (Mail Code: 5202P), Washington DC 20460

703-603-8922"
,,66.814,"Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements ",EPA,Environmental Protection Agency,,,Capital Projects,563000,20,0.074,27,FALSE,"BROWNFIELDS TRAINING, RESEARCH, AND TECHNICAL ASSISTANCE GRANTS AND COOPERATIVE AGREEMENTS",,,,,
,,66.815,Environmental Workforce Development and Job Training Cooperative Agreements,EPA,Environmental Protection Agency,,,Technical Assistance,1800000,7,0.236,11,FALSE,ENVIRONMENTAL WORKFORCE DEVELOPMENT AND JOB TRAINING COOPERATIVE AGREEMENTS,,,,,
,,66.816,Headquarters and Regional Underground Storage Tanks Program,EPA,NULL,,,Capital Projects,0,49,0,49,FALSE,HEADQUARTERS AND REGIONAL UNDERGROUND STORAGE TANKS PROGRAM,,,,,
,y,66.817,State and Tribal Response Program Grants,EPA,Environmental Protection Agency,,,Capital Projects,23278199,2,3.057,18,FALSE,State and Tribal Response Program Grants,,,,,
,y,66.818,"Brownfields Multipurpose, Assessment, Revolving Loan Fund, and Cleanup Cooperative Agreements",EPA,Environmental Protection Agency,,,Capital Projects,18471423,22,2.426,31,FALSE,"Brownfields Multipurpose, Assessment, Revolving Loan Fund, and Cleanup Cooperative Agreements",,,,,
,,66.926,Indian Environmental General Assistance Program (GAP),EPA,Environmental Protection Agency,,,Technical Assistance,16503124,7,2.167,10,FALSE,INDIAN ENVIRONMENTAL GENERAL ASSISTANCE PROGRAM (GAP),,,,,
,,66.940,Environmental Policy and State Sustainability Grants,EPA,Environmental Protection Agency,,,RESEARCH & INNOVATION,465166,1,0.061,4,FALSE,ENVIRONMENTAL POLICY AND STATE SUSTAINABILITY GRANTS,,,,,
,,66.951,Environmental Education Grants,EPA,Environmental Protection Agency,,,Education,1686290,4,0.221,15,FALSE,ENVIRONMENTAL EDUCATION GRANTS,,,,,
,y,66.956,Targeted Airshed Grant Program,,NULL,,Capital Projects,,0,48,0,48,TRUE,Targeted Airshed Grant Program,,,,,
,y,66.958,NULL,ENVIRONMENTAL PROTECTION AGENCY,NULL,,,E - Direct Loans,0,48,0,48,FALSE,Water Infrastructure Finance and Innovation (WIFIA),N/A,3-Sep-20,3-Sep-20,TRUE,"Arielle Gerstein, Program Manager

Environmental Protection Agency, 1200 Pennsylvania Avenue,  N.W. (Mail Code: 4301T), Washington DC 20460

202-566-1868"
,y,66.962,Columbia River Basin Restoration (CRBR) Program,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Cooperative Agreements (Discretionary Grants),714018,1,0.094,4,FALSE,Columbia River Basin Restoration (CRBR) Program,N/A,22-Sep-20,22-Sep-20,TRUE,"Viccy Salazar

U.S. Environmental Protection Agency, 1200 Sixth Avenue, Seattle WA 98101

206-553-1060"
,,66.963,NULL,ENVIRONMENTAL PROTECTION AGENCY,NULL,,Capital Projects,B - Project Grants (Discretionary),0,48,0,48,TRUE,Healthy Environmental Living Program (HELP),N/A,2-Feb-21,2-Feb-21,TRUE,"Stephanie Cheaney

US EPA Region 6, 1201 Elm Street, Suite 500 (LCRPT), Dallas TX 752702002

214-665-8057"
,,81.005,"Environmental Monitoring, Independent Research, Technical Analysis","ENERGY, DEPARTMENT OF",NULL,,Research & Innovation,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,TRUE,"Environmental Monitoring, Independent Research, Technical Analysis",N/A,21-Sep-20,21-Sep-20,TRUE,"Alton Harris

1000 Independence Avenue, SW, Washington DC 20585

301-903-8466"
,,81.041,State Energy Program,,Department of Energy,,,,14330503.6,8,1.882,23,FALSE,State Energy Program,,,,,
,,81.049,Office of Science Financial Assistance Program,"ENERGY, DEPARTMENT OF",Department of Energy,,,B - Project Grants (Cooperative Agreements),266962297.8,11,35.058,14,FALSE,Office of Science Financial Assistance Program,N/A,10-Sep-20,10-Sep-20,TRUE,"Michael S. Zarkin

19901 Germantown Road, Germantown MD 20874

301-903-4946"
,,81.079,Regional Biomass Energy Programs,"ENERGY, DEPARTMENT OF",NULL,81.087,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Regional Biomass Energy Programs,########,########,FALSE,"James Cash

15013 Denver West Parkway, Golden CO 80401

240-562-1456",
,,81.092,Remedial Action and Waste Management,DOE,NULL,,,RESEARCH & INNOVATION,0,48,0,48,FALSE,REMEDIAL ACTION AND WASTE TECHNOLOGY,,,,,
,,81.104,Environmental Remediation and Waste Processing and Disposal,DOE,Department of Energy,,,Capital Projects,6437075.8,8,0.845,8,FALSE,OFFICE OF ENVIRONMENTAL WASTE PROCESSING,,,,,
,,81.117,"Energy Efficiency and Renewable Energy Information Dissemination, Outreach, Training and Technical Analysis/Assistance",DOE,Department of Energy,,,Capital Projects,6998815.78,13,0.919,16,FALSE,"ENERGY EFFICIENCY AND RENEWABLE ENERGY INFORMATION DISSEMINATION, OUTREACH, TRAINING AND TECHNICAL ANALYSIS/ASSISTANCE",,,,,
,,81.127,Energy Efficient Appliance Rebate Program (EEARP),"ENERGY, DEPARTMENT OF",NULL,"81.119, 81.119, 81.041",Capital Projects,B - Project Grants,0,48,0,48,TRUE,Energy Efficient Appliance Rebate Program (EEARP),########,########,FALSE,"James Cash

15013 Denver West Parkway, Golden CO 80401

240-562-1456",
,,81.128,Energy Efficiency and Conservation Block Grant Program (EECBG),"ENERGY, DEPARTMENT OF",NULL,"81.042, 81.041",,B - Project Grants,0,49,0,49,FALSE,Energy Efficiency and Conservation Block Grant Program (EECBG),########,########,FALSE,"James Cash

15013 Denver West Parkway, Golden CO 80401

240-562-1456",
,,81.136,Long-Term Surveillance and Maintenance,DOE,Department of Energy,,,Data & Monitoring,10263262,3,1.348,6,FALSE,LONG-TERM SURVEILLANCE AND MAINTENANCE,,,,,
,,81.214,"Environmental Monitoring/Cleanup, Cultural and Resource Mgmt., Emergency Response Research, Outreach, Technical Analysis",DOE,Department of Energy,,,Technical Assistance,44041171.37,2,5.784,5,FALSE,"ENVIRONMENTAL MONITORING/CLEANUP, CULTURAL AND RESOURCE MGMT., EMERGENCY RESPONSE RESEARCH, OUTREACH, TECHNICAL ANALYSIS",,,,,
,,84.354,Credit Enhancement for Charter School Facilities,"EDUCATION, DEPARTMENT OF",NULL,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Credit Enhancement for Charter School Facilities,84.282,25-Aug-20,25-Aug-20,TRUE,"Anna Hinton

Department of Education, Office of Innovation and Improvement Parental Options and Information, 400 Maryland Ave., SW, Washington DC 20202

2022601816"
,,84.411,Education Innovation and Research (formerly Investing in Innovation (i3) Fund),"EDUCATION, DEPARTMENT OF",Department of Education,"EDUCATION, DEPARTMENT OF",Research & Innovation,B - Project Grants,6516059,27,0.856,34,TRUE,Education Innovation and Research (formerly Investing in Innovation (i3) Fund),84.396,19-Aug-20,19-Aug-20,TRUE,"Jamila Smith

400 Maryland Ave., SW., Washington DC 20202

202-453-6360"
,y,93.070,Environmental Public Health and Emergency Response,,Centers for Disease Control and Prevention,,,,18644901.73,12,2.448,20,FALSE,Environmental Public Health and Emergency Response (building Resilience Against Climate Effects: Implementing and Evaluating Adaptation Strategies that Protect and Promote Human Health),,,,,
,,93.113,Environmental Health,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,Research & Innovation,B - Project Grants,197226909,8,25.9,6,TRUE,Environmental Health,N/A,29-Jul-20,29-Jul-20,TRUE,"Jenny L. Greer

530 Davis Drive, Morrisville NC 27560

(984) 287-3332"
,,93.137,Community Programs to Improve  Minority Health Grant Program,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Office of Assistant Secretary for Health,OFFICE OF ASSISTANT SECRETARY FOR HEALTH,Capital Projects,B - Project Grants,4904639,15,0.644,19,TRUE,Community Programs to Improve  Minority Health Grant Program,N/A,20-Aug-20,20-Aug-20,TRUE,"Stacey Williams

1101  Wootton Parkway, Suite 100, Rockville MD 20852

240-453-8444"
,y,93.143,NIEHS Superfund Hazardous Substances_Basic Research and Education,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,,B - Project Grants,29250364,11,3.841,9,FALSE,NIEHS Superfund Hazardous Substances_Basic Research and Education,N/A,24-Jul-20,24-Jul-20,TRUE,"Benny Encarnacion

111 TW Alexander Drive, Research Triangle Park NC 27709

(984) 287-3258."
,y,93.286,Discovery and Applied Research for Technological Innovations to Improve Human Health,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,Research & Innovation,B - Project Grants (Discretionary),127365489,12,16.726,9,TRUE,Discovery and Applied Research for Technological Innovations to Improve Human Health,"93.838, 93.837, 93.279, 93.839, 93.242, 93.847, 93.395, 93.838, 93.273, 93.865, 93.839, 93.853, 93.866, 93.394, 93.396, 93.173, 93.837, 93.856, 93.866, 93.847, 93.396, 93.867, 93.113, 93.846, 93.113, 93.859, 93.855, 93.172, 93.853, 93.242, 93.865, 93.394, 93.879, 93.867, 93.173, 93.395, 93.121, 93.855, 93.361",28-Jul-20,28-Jul-20,TRUE,"David T. George, Ph.D.

6707 Democracy Boulevard, Bethesda MD 20892

3014969474"
,,93.291,NULL,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NULL,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),Capital Projects,"H - Sale, Exchange, or Donation of Property and Goods",0,48,0,48,TRUE,Surplus Property Utilization,"12.700, 39.002, 39.002, 84.145, 39.003, 39.003",5-Jun-20,5-Jun-20,TRUE,"RPB staff

5600 Fishers Lane, 6th Floor, Rockville MD 20852

301-443-2265"
,,93.296,State Partnership Grant Program to Improve Minority Health,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Immediate Office of the Secretary,OFFICE OF ASSISTANT SECRETARY FOR HEALTH,Capital Projects,B - Project Grants,902840,23,0.119,31,TRUE,State Partnership Grant Program to Improve Minority Health,N/A,27-Mar-20,27-Mar-20,FALSE,"Eric C. West,

Tower Building Suite 550, 1101 Wootton Parkway, Rockville MD 20852

(240) 453-8822."
,,93.296,State Partnership Grant Program to Improve Minority Health,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Immediate Office of the Secretary,OFFICE OF ASSISTANT SECRETARY FOR HEALTH,Capital Projects,B - Project Grants,902840,23,0.119,31,TRUE,State Partnership Grant Program to Improve Minority Health,N/A,########,########,FALSE,"Eric C. West,

Tower Building Suite 550, 1101 Wootton Parkway, Rockville MD 20852

(240) 453-8822."
,,93.307,Minority Health and Health Disparities Research,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,Research & Innovation,B - Project Grants,45616337,19,5.99,28,TRUE,Minority Health and Health Disparities Research,N/A,21-Jul-20,21-Jul-20,TRUE,"Thomas M. Vollberg, Sr., Ph.D.

7201 Wisconsin Avenue, Suite 533

Mail Stop Code 9206, Bethesda MD 20892

3015948770"
,,93.319,Outreach Programs to Reduce the Prevalence of Obesity in High Risk Rural Areas,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NULL,CENTERS FOR DISEASE CONTROL AND PREVENTION,Capital Projects,B - Project Grants,0,50,0,50,TRUE,Outreach Programs to Reduce the Prevalence of Obesity in High Risk Rural Areas,"93.548, 93.742, 93.742, 93.548",17-Jul-20,17-Jul-20,TRUE,"Sheryl Heard

4770Buford Hwy, NE, NCCDPHP, Atlanta GA 30341

770 488 2855"
,,93.346,Enhancing the Logical Observation Identifiers Names and Codes (LOINC�) Standard to meet U.S. Interoperability Needs,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NULL,IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,Data & Monitoring,B - Cooperative Agreements,0,48,0,48,TRUE,Enhancing the Logical Observation Identifiers Names and Codes (LOINC®) Standard to meet U.S. Interoperability Needs,N/A,29-Jun-20,29-Jun-20,TRUE,"Tracy Okubo

330 C Street SW, Washington DC 20201

202-969-3627"
,,93.352,Construction Support,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,Capital Projects,B - Project Grants,49437,17,0.006,17,TRUE,Construction Support,N/A,16-Jun-20,16-Jun-20,FALSE,"Patricia Newman,

6701 Democracy Boulevard , Room 957-MSC4874 , Bethesda MD 20892-4874

(301) 435-0864."
,,93.526,Grants for Capital Development in Health Centers,HHS HRSA,Health Resources and Services Administration,,,Capital Projects,18520261,14,2.432,19,FALSE,AFFORDABLE CARE ACT (ACA) GRANTS FOR CAPITAL DEVELOPMENT IN HEALTH CENTERS,,,,,
,y,93.570,Community Services Block Grant Discretionary Awards,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Administration for Children and Families,ADMINISTRATION FOR CHILDREN AND FAMILIES,,B - Project Grants (Discretionary),3253280,24,0.427,29,FALSE,Community Services Block Grant Discretionary Awards,21.02,2-Sep-20,2-Sep-20,TRUE,"Gerald Shanklin

330 C Street, SW, Washington DC 20201

855-792-6551"
,,93.581,Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality,ADMINISTRATION FOR CHILDREN AND FAMILIES,Administration for Children and Families,,,Technical Assistance,3529984,2,0.464,4,FALSE,IMPROVING THE CAPABILITY OF INDIAN TRIBAL GOVERNMENTS TO REGULATE ENVIRONMENTAL QUALITY,,,,,
,,93.581,Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Administration for Children and Families,ADMINISTRATION FOR CHILDREN AND FAMILIES,,B - Project Grants,3529984,2,0.464,4,FALSE,Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality,"66.926, 66.926",2-Sep-20,2-Sep-20,TRUE,"Carmelia A. Strickland

Administration for Native Americans,

Administration for Children and Families,

Department of Health and Human Services,

Mary E. Switzer Building,

330 C Street SW., Washington  DC 20201

(877) 922-9262"
,,93.624,Community Health Access and Rural Transformation (CHART) Model,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Centers for Medicare and Medicaid Services,CENTERS FOR MEDICARE AND MEDICAID SERVICES,Capital Projects,A - Formula Grants,65774138,3,8.638,11,TRUE,Community Health Access and Rural Transformation (CHART) Model,N/A,1-Jul-20,1-Jul-20,TRUE,"Stephen Cha

2810 Lord Baltimore Drive, Baltimore MD 21244

410-786-1876"
,y,93.684,Engaging State and Local Emergency Management Agencies to Improve Ability to Prepare for and Respond to All - Hazards Events,,NULL,,Capital Projects,,0,48,0,48,TRUE,Engaging State and Local Emergency Management Agencies to Improve Ability to Prepare for and Respond to All - Hazards Events,,,,,
,,93.702,"National Center for Research Resources, Recovery Act Construction Support","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,Capital Projects,B - Project Grants,4784830,38,0.628,40,TRUE,"National Center for Research Resources, Recovery Act Construction Support",93.31,5-Jun-20,5-Jun-20,FALSE,"Gregory K. Farber,

6701 Democracy Blvd., Room 960, Bethesda MD 20892-4874

(301) 435-08778."
,,93.772,Tribal Public Health Capacity Building and Quality Improvement Umbrella Cooperative Agreement,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Centers for Disease Control and Prevention,CENTERS FOR DISEASE CONTROL AND PREVENTION,Technical Assistance,B - Cooperative Agreements,2173701,12,0.285,11,TRUE,Tribal Public Health Capacity Building and Quality Improvement Umbrella Cooperative Agreement,93.098,22-Jul-20,22-Jul-20,TRUE,"Kimberly J. Wilson

MS V18-1, Centers for Disease Control & Prevention, Atlanta GA 30329

404-498-6121"
,,93.853,Extramural Research Programs in the Neurosciences and Neurological Disorders,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,Research & Innovation,B - Project Grants (Contracts),362086574,16,47.55,17,TRUE,Extramural Research Programs in the Neurosciences and Neurological Disorders,N/A,5-Aug-20,5-Aug-20,TRUE,"Robert F. Finkelstein, Director

6001 Executive Boulevard, Suite 3309, Bethesda MD 20892

(301) 496-9248"
,,93.855,Allergy and Infectious Diseases Research,NIH,National Institutes of Health,,,RESEARCH & INNOVATION,2588075890,5,339.87,3,FALSE,ALLERGY AND INFECTIOUS DISEASES RESEARCH,,,,,
,,93.859,Biomedical Research and Research Training,NIH,National Institutes of Health,,,RESEARCH & INNOVATION,741106014,8,97.323,17,FALSE,BIOMEDICAL RESEARCH AND RESEARCH TRAINING,,,,,
,,93.865,Child Health and Human Development Extramural Research,NIH,National Institutes of Health,,,RESEARCH & INNOVATION,439436277,10,57.707,9,FALSE,CHILD HEALTH AND HUMAN DEVELOPMENT EXTRAMURAL RESEARCH,,,,,
,,93.989,International Research and Research Training,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",National Institutes of Health,NATIONAL INSTITUTES OF HEALTH,Research & Innovation,B - Project Grants (including individual awards),35400814,6,4.649,9,TRUE,International Research and Research Training,N/A,3-Aug-20,3-Aug-20,TRUE,"Flora Katz

Building 31, Room B2C39

31 Center Drive, MSC 2220, Bethesda MD 20892

301-496-1653"
,,94.006,AmeriCorps,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Corporation for National and Community Service,,,Technical Assistance,125984390,6,16.544,7,FALSE,AMERICORPS,,,,,
,y,94.007,Program Development and Innovation Grants,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,NULL,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Research & Innovation,B - Project Grants,0,48,0,48,TRUE,Program Development and Innovation Grants,"94.002, 94.003",7-Sep-20,7-Sep-20,TRUE,"Lisa Bishop

250 E Street, SW, Washington DC 20525

202-606-6869"
,,94.009,Training and Technical Assistance,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Corporation for National and Community Service,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Technical Assistance,B - Project Grants (Discretionary),565947.34,17,0.074,37,TRUE,Training and Technical Assistance,N/A,25-Aug-20,25-Aug-20,TRUE,"Arminda Pappas

250 E Street, SW, Washington DC 20525

202-606-6659"
,y,94.019,Social Innovation Fund,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,NULL,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Research & Innovation,C - Direct Payments for Specified Use (Cooperative Agreements),0,48,0,48,TRUE,Social Innovation Fund,N/A,3-Sep-20,3-Sep-20,FALSE,"Lily Zandniapour, Ph.D.

250 E Street, SW, Washington DC 20525

202-606-6939"
,y,94.024,Social Innovation Fund Pay for Success,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,NULL,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Research & Innovation,B - Project Grants,0,48,0,48,TRUE,Social Innovation Fund Pay for Success,94.019,3-Sep-20,3-Sep-20,FALSE,"Lily Zandniapour, Ph.D.

250 E Street, SW, Washington  DC 20525

202-606-6939"
,,97.012,Boating Safety Financial Assistance,US Coast Guard,U.S. Coast Guard,,,Technical Assistance,30689197,17,4.03,39,FALSE,BOATING SAFETY FINANCIAL ASSISTANCE,,,,,
,,97.022,Flood Insurance,,NULL,,,,0,48,0,48,FALSE,Flood Insurance,,,,,
,y,97.023,Community Assistance Program State Support Services Element (CAP-SSSE),"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,,B - Cooperative Agreements,1024955,20,0.135,36,FALSE,Community Assistance Program State Support Services Element (CAP-SSSE),97.022,13-Aug-20,13-Aug-20,TRUE,"Julie Grauer  - Community Assistance Program - State Support Services

400 C St., SW



Washington, DC  20472, Washington DC 20472

(202) 212-3460"
,,97.026,Emergency Management Institute Training Assistance,"HOMELAND SECURITY, DEPARTMENT OF",NULL,FEDERAL EMERGENCY MANAGEMENT AGENCY,Education,C - Direct Payments for Specified Use,0,48,0,48,TRUE,Emergency Management Institute Training Assistance,"97.028, 97.027",29-Jul-20,29-Jul-20,TRUE,"Protection and National Preparedness, National Preparedness Directorate, National Training and Education Division, Emergency Management Institute, FEMA

16825 South Seton Avenue, Emmitsburg MD 21727

(301) 447-1286"
,,97.027,NULL,"HOMELAND SECURITY, DEPARTMENT OF",NULL,FEDERAL EMERGENCY MANAGEMENT AGENCY,Education,M - Training,0,48,0,48,TRUE,Emergency Management Institute (EMI) Independent Study Program,"97.028, 97.026",29-Jul-20,29-Jul-20,TRUE,"Department of Homeland Security, Federal Emergency Management Agency, Protection and National Preparedness, National Preparedness Directorate, National Training and Education Division, Emergency Management Institute

16825 South Seton Avenue, Emmitsburg MD 21727

(301) 447-1057"
,,97.028,NULL,"HOMELAND SECURITY, DEPARTMENT OF",NULL,FEDERAL EMERGENCY MANAGEMENT AGENCY,Education,M - Training,0,48,0,48,TRUE,Emergency Management Institute (EMI) Resident Educational Program,"97.027, 97.026",29-Jul-20,29-Jul-20,TRUE,"Protection and National Preparedness, National Preparedness Directorate, National Training and Education Division, Emergency Management Institute, FEMA

16825 South Seton Avenue, Emmitsburg MD 21727

(301) 447-1507"
,y,97.029,Flood Mitigation Assistance,"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,,B - Project Grants,6474614,13,0.85,19,FALSE,Flood Mitigation Assistance,"97.047, 97.039",13-Aug-20,13-Aug-20,TRUE,"Kayed Lakhia, Director, Hazard Mitigation, Federal Insurance and Mitigation Administration,

400 C Street SW, Washington DC 20472

(202) 646-3458"
,,97.036,Disaster Grants - Public Assistance (Presidentially Declared Disasters),"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,Capital Projects,B - Project Grants,962986175,13,126.461,31,TRUE,Disaster Grants - Public Assistance (Presidentially Declared Disasters),"97.034, 10.054, 97.034, 10.054, 12.102, 12.103",11-Aug-20,11-Aug-20,TRUE,"Traci Brasher, Acting Director

500 C Street, S.W.

, Washington DC 20472

(202) 646-4136 or 1-800-621-3363"
,y,97.039,Hazard Mitigation Grant,"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,,B - Project Grants,59139665,27,7.766,30,FALSE,Hazard Mitigation Grant,"97.047, 97.029",13-Aug-20,13-Aug-20,TRUE,"Kayed Lakhia, Director, Hazard Mitigation, Federal Insurance and Mitigation Administration

400 C Street SW, Washington DC 20472

(202)646-3458"
,,97.040,Chemical Stockpile Emergency Preparedness Program,FEMA,Federal Emergency Management Agency,,,Technical Assistance,-490023,50,-0.064,51,FALSE,CHEMICAL STOCKPILE EMERGENCY PREPAREDNESS PROGRAM,,,,,
,,97.041,National Dam Safety Program,FEMA,Federal Emergency Management Agency,,,Capital Projects,1143631,32,0.15,44,FALSE,NATIONAL DAM SAFETY PROGRAM,,,,,
,,97.042,Emergency Management Performance Grants,"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,,A - Formula Grants,89687044,11,11.778,34,FALSE,Emergency Management Performance Grants,"97.008, 97.008, 97.067",4-Aug-20,4-Aug-20,TRUE,"Department of Homeland Security, Federal Emergency Management Agency (FEMA)

500 C Street SW, Washington DC 20472

18003686498"
,y,97.044,Assistance to Firefighters Grant,"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,Capital Projects,B - Project Grants,107435501,13,14.109,15,TRUE,Assistance to Firefighters Grant,"15.228, 97.043, 97.018, 15.031, 15.228",4-Aug-20,4-Aug-20,TRUE,"Department of Homeland Security/Federal Emergency Management Agency

400 C Street, SW







Washington, DC 20472, Washington DC 20742-3635

8662740960"
,y,97.045,Cooperating Technical Partners,"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,,B - Cooperative Agreements,4074207,32,0.535,39,FALSE,Cooperating Technical Partners,97.07,24-May-21,24-May-21,TRUE,"Laura Algeo

Federal Emergency Management Agency (FEMA)

Federal Insurance and Mitigation Administration (FIMA)

400 C Street SW

Washington, DC, 20024, Washington DC 20024

202.212.1054"
,,97.046,Fire Management Assistance Grant,FEMA,Federal Emergency Management Agency,,,Capital Projects,64237410,4,8.436,6,FALSE,Fire Management Assistance Grant,,,,,
,y,97.047,BRIC: Building Resilient Infrastructure and Communities,"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,,B - Project Grants,33763965,3,4.434,13,FALSE,BRIC: Building Resilient Infrastructure and Communities,"97.029, 97.039",9-Nov-20,9-Nov-20,TRUE,"Kayed Lakhia

400 C Street SW, Washington DC 20472

(202) 646-3458"
,,97.067,Homeland Security Grant Program,"HOMELAND SECURITY, DEPARTMENT OF",Federal Emergency Management Agency,FEDERAL EMERGENCY MANAGEMENT AGENCY,Capital Projects,A - Formula Grants,217175392,14,28.52,25,TRUE,Homeland Security Grant Program,"97.008, 97.042",13-Aug-20,13-Aug-20,TRUE,"Department of Homeland Security, Federal Emergency Management Agency (FEMA)

500 C Street SW



Washington, DC  20472, Washington DC 20523

18003686498"
,,97.070,Map Modernization Management Support,FEMA,Federal Emergency Management Agency,,,Data & Monitoring,150000,19,0.02,27,FALSE,MAP MODERNIZATION MANAGEMENT SUPPORT,,,,,
,y,97.088,Disaster Assistance Projects,,NULL,,Capital Projects,,0,49,0,49,TRUE,Disaster Assistance Projects,,,,,
,y,97.092,Repetitive Flood Claims,"HOMELAND SECURITY, DEPARTMENT OF",NULL,FEDERAL EMERGENCY MANAGEMENT AGENCY,,B - Project Grants,0,39,0,40,FALSE,Repetitive Flood Claims,"97.029, 97.039, 97.047, 97.110",13-Aug-20,13-Aug-20,FALSE,"Kayed Lakhia -  Director Hazard Mitigation Assistance Division

400 C St., SW





Washington, DC 20472, Washington DC 20472

2026463458"
,,97.092,Repetitive Flood Claims,"HOMELAND SECURITY, DEPARTMENT OF",NULL,FEDERAL EMERGENCY MANAGEMENT AGENCY,,B - Project Grants,0,39,0,40,FALSE,Repetitive Flood Claims,"97.029, 97.039, 97.047, 97.110",########,########,FALSE,"Kayed Lakhia -  Director Hazard Mitigation Assistance Division

400 C St., SW





Washington, DC 20472, Washington DC 20472

2026463458"
